社員番号,氏名,所属部門,勤務表提出ステータス,日付,休日区分,勤務状況,始業時刻,終業時刻,備考,承認,控除合計,深夜合計,実働,休憩
3060,永谷　亘弘,海外課,承認完了,2017/9/1,平日,出勤,8:00,18:00,,1,,,540,60
3060,永谷　亘弘,海外課,承認完了,2017/9/2,休日,休日,,,,1,,,,
3060,永谷　亘弘,海外課,承認完了,2017/9/3,法休,休日出勤,12:30,18:00,,1,,,330,0
3060,永谷　亘弘,海外課,承認完了,2017/9/4,平日,午前半休,13:00,19:45,,1,,,405,0
3060,永谷　亘弘,海外課,承認完了,2017/9/5,平日,出勤,8:00,19:45,,1,,,645,60
3060,永谷　亘弘,海外課,承認完了,2017/9/6,平日,出勤,7:30,19:30,朝はNYKとTV会議,1,,,660,60
3060,永谷　亘弘,海外課,承認完了,2017/9/7,平日,出勤,8:00,19:45,,1,,,645,60
3060,永谷　亘弘,海外課,承認完了,2017/9/8,平日,出勤,8:00,19:00,,1,,,600,60
3060,永谷　亘弘,海外課,承認完了,2017/9/9,休日,休日,,,,,,,,
3060,永谷　亘弘,海外課,承認完了,2017/9/10,法休,休日出勤,12:45,18:00,,1,,,315,0
3060,永谷　亘弘,海外課,承認完了,2017/9/11,平日,出勤,8:00,18:45,,1,,,585,60
3060,永谷　亘弘,海外課,承認完了,2017/9/12,平日,出勤,8:00,21:00,,1,,,720,60
3060,永谷　亘弘,海外課,承認完了,2017/9/13,平日,出勤,8:00,19:45,,1,,,645,60
3060,永谷　亘弘,海外課,承認完了,2017/9/14,平日,出勤,7:30,21:30,朝はNYKとTV会議,1,,,780,60
3060,永谷　亘弘,海外課,承認完了,2017/9/15,平日,出勤,8:00,19:45,,1,,,645,60
3060,永谷　亘弘,海外課,承認完了,2017/9/16,休日,休日,,,,,,,,
3060,永谷　亘弘,海外課,承認完了,2017/9/17,法休,休日出勤,13:00,18:00,,1,,,300,0
3060,永谷　亘弘,海外課,承認完了,2017/9/18,祝日,休日,,,,,,,,
3060,永谷　亘弘,海外課,承認完了,2017/9/19,平日,出勤,8:00,19:45,,1,,,645,60
3060,永谷　亘弘,海外課,承認完了,2017/9/20,平日,出勤,8:00,19:45,,1,,,645,60
3060,永谷　亘弘,海外課,承認完了,2017/9/21,平日,出勤,9:00,19:45,AM定期健診(茅場町),1,,,585,60
3060,永谷　亘弘,海外課,承認完了,2017/9/22,平日,出勤,8:00,19:45,,1,,,645,60
3060,永谷　亘弘,海外課,承認完了,2017/9/23,祝日,休日,,,,,,,,
3060,永谷　亘弘,海外課,承認完了,2017/9/24,法休,休日,,,,,,,,
3060,永谷　亘弘,海外課,承認完了,2017/9/25,平日,出勤,8:00,18:30,,1,,,570,60
3060,永谷　亘弘,海外課,承認完了,2017/9/26,平日,出勤,8:00,19:45,,1,,,645,60
3060,永谷　亘弘,海外課,承認完了,2017/9/27,平日,出勤,8:00,21:00,,1,,,720,60
3060,永谷　亘弘,海外課,承認完了,2017/9/28,平日,出勤,8:00,19:45,,1,,,645,60
3060,永谷　亘弘,海外課,承認完了,2017/9/29,平日,出勤,7:15,19:45,朝はNYKとTV会議,1,,,690,60
3060,永谷　亘弘,海外課,承認完了,2017/9/30,休日,休日出勤,8:45,12:00,,1,,,195,0
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/1,平日,出勤,8:00,19:00,自己研鑽,1,,,600,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/2,休日,休日,,,,,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/3,法休,休日,,,,,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/4,平日,出勤,8:00,18:40,自己研鑽,1,,,580,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/5,平日,出勤,10:00,18:20,体調不良のためフレックス,1,,,440,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/6,平日,出勤,8:00,18:15,,1,,,555,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/7,平日,出勤,8:00,19:00,自己研鑽のため,1,,,600,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/8,平日,出勤,7:45,19:55,,1,,,670,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/9,休日,休日,,,,,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/10,法休,休日,,,,,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/11,平日,精勤休暇,,,,1,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/12,平日,精勤休暇,,,,1,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/13,平日,精勤休暇,,,,1,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/14,平日,出勤,7:45,19:45,,1,,,660,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/15,平日,出勤,7:45,18:15,,1,,,570,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/16,休日,休日,,,,,,,,
